                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90945,                 2.5335,                 1.3192,                0.60824,                0.59722,                0.65537,                0.43757,                 1.0189,                 3.0558,                 1.6881,             0.00051677,             0.00051677,             0.00051677
                      1,                 1.0585,                 2.0567,                 1.4126,                0.70372,                0.49715,                0.55867,                0.31834,                 1.6296,                 2.7573,                 2.3859,              0.0010398,              0.0010398,              0.0010398
                      2,                 1.1652,                  2.028,                 1.4736,                0.41935,                0.30556,                0.35621,                0.19651,                 2.0385,                 4.8212,                  4.173,              0.0015523,              0.0015523,              0.0015523
                      3,                 1.2202,                 1.9399,                 1.5257,                0.54197,                0.36084,                 0.3911,                0.17267,                 2.2704,                 4.0575,                 3.5931,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.2317,                 1.8772,                 1.5248,                0.44966,                  0.375,                0.34199,                0.19375,                 1.6464,                 3.6114,                 2.4501,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2264,                   1.76,                 1.4894,                0.72478,                0.66667,                0.70203,                0.43091,                 1.4856,                 2.9049,                 2.4004,               0.001601,               0.001601,               0.001601
                      6,                  1.232,                 1.6472,                 1.4903,                0.75998,                0.59003,                 0.6801,                0.37718,                 1.2526,                 2.3687,                 1.7781,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1875,                 1.5196,                  1.415,                 0.6461,                0.63889,                0.67964,                0.35274,                 1.4764,                 1.9567,                  2.276,               0.001568,               0.001568,               0.001568
                      8,                 1.1663,                 1.4664,                 1.4461,                0.83971,                0.80556,                0.85707,                0.55478,                 1.1664,                 1.8231,                 1.6776,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2135,                 1.4827,                 1.4625,                0.81794,                0.68503,                0.79422,                0.48526,                 1.1983,                 1.8002,                 1.7573,               0.001535,               0.001535,               0.001535
                     10,                 1.1537,                 1.3696,                 1.4173,                0.86204,                0.86111,                0.90792,                0.63454,                 1.2491,                 1.4544,                  1.798,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1474,                 1.3908,                 1.4438,                0.82369,                 0.7286,                0.79636,                0.50159,                 1.2026,                 1.4526,                 1.7565,               0.001502,               0.001502,               0.001502
                     12,                 1.0912,                 1.2794,                 1.3953,                0.90823,                0.73078,                0.84493,                 0.6017,                0.97826,                 1.2885,                  1.545,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0495,                 1.1942,                 1.3379,                0.86301,                0.79167,                0.85708,                0.59531,                 1.1339,                 1.3253,                  1.713,               0.001469,               0.001469,               0.001469
                     14,                 1.0029,                  1.104,                 1.3006,                0.84675,                0.79013,                0.85532,                0.61009,                 1.1602,                 1.4033,                 1.6594,              0.0014525,              0.0014525,              0.0014525
