                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7919,                 1.6972,                 1.8904,                0.70145,                0.52778,                0.58505,                0.29482,                 2.0267,                 2.3542,                 2.2775,             0.00051677,             0.00051677,             0.00051677
                      1,                 1.1024,                 1.0895,                 1.4186,                0.82595,                0.69046,                0.79822,                0.57802,                 1.2432,                 1.5612,                 1.6599,              0.0010433,              0.0010433,              0.0010433
                      2,                0.98991,                0.96507,                 1.3243,                0.97745,                0.81122,                0.91316,                0.65358,                 1.1662,                 1.0578,                 1.6205,              0.0015627,              0.0015627,              0.0015627
                      3,                0.96807,                0.94732,                  1.327,                 0.8844,                 0.7955,                 0.8584,                0.63638,                 1.0758,                 1.3083,                 1.5874,               0.001634,               0.001634,               0.001634
                      4,                0.92783,                0.90285,                 1.2854,                0.81852,                 0.7189,                0.78438,                0.62154,                 1.0089,                 1.5433,                 1.4657,               0.001634,               0.001634,               0.001634
                      5,                0.94702,                0.91413,                 1.2901,                0.94961,                0.92637,                0.96026,                0.77785,                0.78843,                0.73623,                 1.3143,               0.001623,               0.001623,               0.001623
                      6,                 0.8883,                0.86286,                 1.2743,                0.91796,                0.91667,                0.93436,                 0.7279,                0.86169,                 0.8876,                 1.3815,               0.001612,               0.001612,               0.001612
                      7,                0.86354,                0.78903,                   1.23,                0.96415,                0.94444,                0.96705,                 0.7922,                0.85092,                0.69193,                 1.3438,               0.001601,               0.001601,               0.001601
                      8,                0.86108,                0.77095,                  1.233,                0.94012,                0.87252,                0.91321,                0.70275,                0.98733,                0.85854,                 1.4389,                0.00159,                0.00159,                0.00159
                      9,                0.89523,                0.81922,                 1.2602,                 0.9733,                0.88889,                0.93979,                 0.7252,                0.87871,                0.73172,                 1.4203,               0.001579,               0.001579,               0.001579
                     10,                0.87255,                0.81019,                 1.2453,                0.94952,                0.94444,                0.95307,                0.74799,                0.84448,                0.68684,                 1.3755,               0.001568,               0.001568,               0.001568
                     11,                 0.8651,                0.78885,                 1.2394,                0.92225,                0.90278,                0.90231,                0.72288,                0.79307,                 0.8493,                 1.3192,               0.001557,               0.001557,               0.001557
                     12,                0.81497,                0.74067,                 1.2057,                0.90809,                0.88889,                0.90942,                0.76685,                0.72164,                0.84371,                 1.2352,               0.001546,               0.001546,               0.001546
                     13,                0.80037,                0.71518,                 1.1903,                0.97297,                0.94286,                0.96881,                0.80052,                0.72525,                  0.717,                 1.2918,               0.001535,               0.001535,               0.001535
                     14,                0.74855,                0.70893,                 1.1591,                0.92721,                0.90278,                0.92831,                0.77776,                0.70067,                0.78414,                  1.231,               0.001524,               0.001524,               0.001524
                     15,                 0.8139,                0.70689,                 1.1997,                0.93357,                0.93056,                0.94208,                0.77071,                0.74259,                0.78066,                   1.28,               0.001513,               0.001513,               0.001513
                     16,                0.79012,                0.71885,                 1.1871,                0.94582,                0.94444,                0.96323,                0.83336,                0.70156,                0.66931,                 1.2433,               0.001502,               0.001502,               0.001502
                     17,                0.80911,                0.70532,                  1.202,                0.97175,                0.95555,                0.97584,                0.80534,                0.79003,                0.65343,                 1.3116,               0.001491,               0.001491,               0.001491
                     18,                0.77285,                0.71426,                 1.1636,                0.93726,                0.91244,                0.92804,                0.78749,                0.68179,                0.73787,                 1.2447,                0.00148,                0.00148,                0.00148
                     19,                0.76642,                0.69919,                 1.1688,                0.95315,                0.92272,                 0.9541,                0.82039,                0.83228,                0.75512,                 1.3067,               0.001469,               0.001469,               0.001469
                     20,                0.78197,                0.67375,                  1.194,                 0.9119,                0.90278,                0.92838,                0.80141,                 0.6684,                0.75797,                 1.2202,               0.001458,               0.001458,               0.001458
                     21,                 0.7537,                0.66868,                  1.171,                0.97168,                0.94444,                0.96955,                0.82318,                0.64166,                0.59116,                 1.1932,               0.001447,               0.001447,               0.001447
                     22,                0.75084,                0.67172,                 1.1867,                0.89675,                0.85639,                0.89132,                0.76668,                0.67752,                0.84182,                 1.2052,               0.001436,               0.001436,               0.001436
                     23,                0.75566,                  0.704,                 1.1732,                0.97822,                0.95042,                0.97758,                0.79132,                0.77056,                0.66409,                  1.286,               0.001425,               0.001425,               0.001425
                     24,                0.73021,                0.72019,                 1.1565,                 0.8385,                0.76389,                0.83455,                0.70739,                0.72213,                 1.0476,                 1.2321,              0.0014139,              0.0014139,              0.0014139
                     25,                 0.7534,                0.69313,                 1.1588,                0.96154,                0.95833,                0.96859,                0.80149,                0.79394,                0.77632,                 1.3099,              0.0014029,              0.0014029,              0.0014029
                     26,                0.71502,                0.64297,                 1.1484,                0.88433,                0.81874,                0.87741,                0.73902,                0.75591,                 1.0404,                 1.2708,              0.0013919,              0.0013919,              0.0013919
                     27,                  0.735,                0.66017,                 1.1643,                0.95812,                0.90711,                0.94994,                0.81149,                0.71277,                0.76017,                  1.271,              0.0013809,              0.0013809,              0.0013809
                     28,                0.77844,                0.69535,                 1.1922,                0.98151,                0.94444,                0.97052,                0.83528,                0.69622,                0.57803,                 1.2406,              0.0013699,              0.0013699,              0.0013699
                     29,                0.73467,                0.66133,                 1.1767,                0.96468,                0.91667,                0.95751,                0.81267,                0.71202,                0.68709,                 1.2691,              0.0013589,              0.0013589,              0.0013589
                     30,                0.68746,                0.62446,                 1.1301,                0.94788,                0.93056,                0.95715,                0.83155,                0.73163,                0.66019,                 1.2613,              0.0013479,              0.0013479,              0.0013479
                     31,                0.73057,                0.64353,                 1.1577,                 0.9697,                0.91667,                0.95768,                0.81476,                0.73173,                0.58398,                 1.3019,              0.0013369,              0.0013369,              0.0013369
                     32,                0.69863,                0.63004,                 1.1361,                0.94582,                0.94444,                 0.9673,                0.84102,                 0.7196,                0.68361,                 1.2524,              0.0013259,              0.0013259,              0.0013259
                     33,                 0.7278,                0.62435,                 1.1361,                0.98034,                 0.9572,                0.97714,                0.84223,                0.71573,                 0.6909,                 1.2793,              0.0013149,              0.0013149,              0.0013149
                     34,                 0.6764,                0.59831,                 1.1276,                0.94872,                0.94444,                0.96675,                   0.81,                0.69654,                 0.5952,                 1.2803,              0.0013039,              0.0013039,              0.0013039
                     35,                0.71147,                0.59998,                  1.146,                 0.9571,                0.94263,                0.96458,                0.81985,                 0.6977,                0.61949,                 1.2412,              0.0012929,              0.0012929,              0.0012929
                     36,                0.72417,                0.62033,                 1.1434,                0.96154,                0.95833,                0.97425,                0.85669,                0.66366,                0.70884,                 1.1716,              0.0012819,              0.0012819,              0.0012819
                     37,                0.72244,                  0.607,                 1.1385,                0.91841,                0.91667,                0.95052,                0.78849,                0.71374,                0.65123,                 1.2302,              0.0012709,              0.0012709,              0.0012709
                     38,                0.69916,                0.61809,                 1.1391,                0.94872,                0.94444,                 0.9702,                 0.8301,                 0.7146,                0.57586,                 1.2589,              0.0012599,              0.0012599,              0.0012599
                     39,                0.70164,                0.60288,                  1.126,                0.92683,                0.91667,                0.94094,                 0.8108,                0.64197,                0.63619,                 1.1893,              0.0012489,              0.0012489,              0.0012489
                     40,                0.74085,                0.59911,                 1.1794,                0.99941,                0.92998,                0.97013,                0.85232,                0.61378,                0.57985,                 1.1428,              0.0012379,              0.0012379,              0.0012379
                     41,                0.70187,                0.63572,                 1.1447,                 0.9186,                0.90278,                0.92817,                0.79547,                0.69545,                0.90298,                 1.2235,              0.0012269,              0.0012269,              0.0012269
                     42,                0.68795,                0.63065,                 1.1311,                0.93478,                0.88755,                0.93837,                0.79976,                0.68971,                0.64998,                 1.2281,              0.0012159,              0.0012159,              0.0012159
                     43,                0.70204,                0.60782,                 1.1298,                0.97923,                0.95833,                0.97781,                0.88046,                0.58298,                0.54455,                 1.1203,              0.0012049,              0.0012049,              0.0012049
                     44,                0.66966,                0.58923,                 1.1231,                   0.95,                0.94444,                0.96613,                0.86627,                0.58338,                0.65868,                 1.1113,              0.0011939,              0.0011939,              0.0011939
                     45,                0.69138,                 0.5914,                 1.1316,                0.97722,                0.97106,                0.98425,                0.86623,                0.60632,                0.56258,                 1.1446,              0.0011829,              0.0011829,              0.0011829
                     46,                0.67459,                0.56524,                 1.1327,                0.92683,                0.91667,                0.95108,                0.82385,                0.68694,                0.71421,                 1.2013,              0.0011719,              0.0011719,              0.0011719
                     47,                0.67058,                0.57035,                  1.129,                0.99293,                0.97222,                 0.9835,                0.88285,                0.56485,                0.67821,                   1.11,              0.0011609,              0.0011609,              0.0011609
                     48,                0.67746,                0.57103,                 1.1223,                0.92309,                0.90278,                0.92838,                 0.8292,                 0.6081,                0.74188,                 1.1256,              0.0011499,              0.0011499,              0.0011499
